,yearID,playerID,salary,ADJ Salary,GS,InnOuts,PO,A,E,DP,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
0,1985,benedbr01,545000,1310892.147,67,1698,314,35,4,1,ATL,NL,70,208,12,42,6,0,0,20,0,1,22,12,1,1,4,2,8
1,1985,ceronri01,625000,1503316.682,76,2097,384,48,6,4,ATL,NL,96,282,15,61,9,0,3,25,0,3,29,25,1,1,0,4,15
2,1985,chambch01,800000,1924245.353,27,814,299,25,1,31,ATL,NL,101,170,16,40,7,0,3,21,0,0,18,22,4,0,0,1,5
3,1985,harpete01,250000,601326.6729,124,3299,215,10,5,0,ATL,NL,138,492,58,130,15,2,17,72,9,9,44,76,4,3,1,2,13
4,1985,hornebo01,1500000,3607960.037,125,3196,917,119,11,111,ATL,NL,130,483,61,129,25,3,27,89,1,1,50,57,4,1,0,6,18
5,1985,hubbagl01,455000,1094414.545,130,3425,339,539,10,127,ATL,NL,142,439,51,102,21,0,5,39,4,3,56,54,2,4,7,6,11
6,1985,mumphje01,775000,1864112.686,113,3009,248,6,8,1,HOU,NL,130,444,52,123,25,2,8,61,6,7,37,57,8,0,1,6,9
7,1985,murphda05,1625000,3908623.374,161,4264,334,8,7,4,ATL,NL,162,616,118,185,32,2,37,111,10,3,90,141,15,1,0,5,14
8,1985,oberkke01,616667,1483273.261,113,3041,88,257,12,26,ATL,NL,134,412,30,112,19,4,3,35,1,2,51,38,6,6,1,2,10
9,1985,perryge01,120000,288636.803,50,1325,541,37,9,48,ATL,NL,110,238,22,51,5,0,3,13,9,5,23,28,1,0,0,1,7
10,1985,ramirra01,750000,1803980.019,130,3466,214,451,32,115,ATL,NL,138,568,54,141,25,4,5,58,2,6,20,63,1,0,2,5,21
11,1985,washicl01,800000,1924245.353,90,2459,122,3,5,1,ATL,NL,122,398,62,110,14,6,15,43,14,4,40,66,11,1,0,2,11
12,1985,dauerri01,480000,1154547.212,71,1757,126,202,4,44,BAL,AL,85,208,25,42,7,0,2,14,0,1,20,7,0,1,5,0,9
13,1985,dempsri01,512500,1232719.679,113,3024,575,49,8,5,BAL,AL,132,362,54,92,19,0,12,52,0,1,50,87,0,1,5,2,2
14,1985,dwyerji01,375000,901990.0093,61,1494,131,4,1,0,BAL,AL,101,233,35,58,8,3,7,36,0,3,37,31,2,1,2,1,5
15,1985,grosswa01,483333,1162564.099,62,1469,81,102,10,15,BAL,AL,103,217,31,51,8,0,11,18,1,1,46,48,0,0,1,0,3
16,1985,lacyle01,725000,1743847.351,112,2946,231,9,4,0,BAL,AL,121,492,69,144,22,4,9,48,10,3,39,95,0,2,1,6,10
17,1985,lynnfr01,1090000,2621784.294,121,3139,314,6,2,2,BAL,AL,124,448,59,118,12,1,23,68,7,3,53,100,6,1,0,6,7
18,1985,murraed02,1472819,3542581.396,154,4096,1338,152,19,154,BAL,AL,156,583,111,173,37,1,31,124,5,2,84,68,12,2,0,8,8
19,1985,nolanjo01,341667,821813.9213,4,97,22,2,0,0,BAL,AL,31,38,1,5,2,0,0,6,0,0,5,5,1,0,0,1,1
20,1985,rayfofl01,128500,309081.9099,88,2404,176,152,7,13,BAL,AL,105,359,55,110,21,1,18,48,3,1,10,69,0,0,2,1,10
