Row ID,Year,Franchise,Player,Pos.,Cap Type,Base Salary,Signing Bonus,Roster Bonus,Option Bonus,Workout Bonus,Restruc. Bonus,Misc.,Dead Cap,Cap Hit,Cap %
1,2021,Arizona Cardinals,Chandler Jones,OLB,Active Roster,"$15,500,000 ","$3,000,000 ",,,,"$2,333,334 ",,"($5,333,334)","$20,833,334 ",11.77
2,2021,Arizona Cardinals,D.J. Humphries,LT,Active Roster,"$15,100,000 ","$800,000 ","$500,000 ",,,"$3,530,000 ",,"($23,760,000)","$19,930,000 ",11.26
3,2021,Arizona Cardinals,DeAndre Hopkins,WR,Active Roster,"$4,750,000 ","$5,500,000 ",,"$2,250,000 ",,,,"($35,750,000)","$12,500,000 ",7.06
4,2021,Arizona Cardinals,Jordan Phillips,DT,Active Roster,"$10,000,000 ","$2,000,000 ",,,,,,"($10,500,000)","$12,000,000 ",6.78
5,2021,Arizona Cardinals,Justin Pugh,G,Active Roster,"$7,750,000 ","$2,000,000 ","$1,406,250 ",,,,,"($4,000,000)","$11,156,250 ",6.3
6,2021,Arizona Cardinals,Kyler Murray,QB,Active Roster,"$850,000 ","$5,897,481 ","$3,016,240 ",,,,,"($20,775,564)","$9,763,721 ",5.52
7,2021,Arizona Cardinals,Robert Alford,CB,Active Roster,"$7,450,000 ","$1,500,000 ",,,"$50,000 ",,,"($1,500,000)","$9,000,000 ",5.08
8,2021,Arizona Cardinals,Jordan Hicks,ILB,Active Roster,"$5,000,000 ","$3,000,000 ","$1,000,000 ",,,,,"($6,000,000)","$9,000,000 ",5.08
9,2021,Arizona Cardinals,Devon Kennard,OLB,Active Roster,"$6,250,000 ","$1,250,000 ","$406,250 ",,,,,"($3,750,000)","$7,906,250 ",4.47
10,2021,Arizona Cardinals,Budda Baker,S,Active Roster,"$4,000,000 ","$2,000,000 ",,"$1,775,000 ",,,,"($19,100,000)","$7,775,000 ",4.39
11,2021,Arizona Cardinals,Isaiah Simmons,OLB,Active Roster,"$780,000 ","$3,147,101 ","$769,275 ",,,,,"($16,906,954)","$4,696,376 ",2.65
12,2021,Arizona Cardinals,Maxx Williams,TE,Active Roster,"$2,550,000 ","$250,000 ","$418,750 ",,,,,"($250,000)","$3,218,750 ",1.82
13,2021,Arizona Cardinals,Justin Murray,T,Active Roster,"$1,750,000 ","$333,333 ","$203,125 ",,,,,"($1,666,667)","$2,286,458 ",1.29
14,2021,Arizona Cardinals,Byron Murphy,CB,Active Roster,"$1,221,318 ","$957,636 ",,,,,,"($2,864,847)","$2,178,954 ",1.23
15,2021,Arizona Cardinals,Christian Kirk,WR,Active Roster,"$1,283,845 ","$591,794 ",,,,,,"($591,794)","$1,875,639 ",1.06
16,2021,Arizona Cardinals,Andy Isabella,WR,Active Roster,"$915,900 ","$346,794 ",,,,,,"($693,588)","$1,262,694 ",0.71
