_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
abdelal01,24-Jun-68,"Cairo, Egypt",0.3,50.2,0,70.1,256,13,5.7,3.3,4.8,50.2,Duke University,25th overall,1st round,Portland Trail Blazers,1990,10-Jun,"Bloomfield in Bloomfield, New Jersey",Alaa Abdelnaby,Power Forward,Right,240lb
abdulza01,7-Apr-46,"Brooklyn, New York",1.2,42.8,,72.8,505,15.1,9,8,17.5,,Iowa State University,5th overall,1st round,Cincinnati Royals,1968,9-Jun,"John Jay in Brooklyn, New York",Zaid Abdul-Aziz,Power Forward and Center,Right,235lb
abdulka01,16-Apr-47,"New York, New York",3.6,55.9,5.6,72.1,1560,24.6,24.6,11.2,273.4,55.9,"University of California, Los Angeles",1st overall,1st round,Milwaukee Bucks,1969,2-Jul,"Power Memorial in New York, New York",Kareem Abdul-Jabbar,Center,Right,225lb
abdulma02,9-Mar-69,"Gulfport, Mississippi",3.5,44.2,35.4,90.5,586,15.4,14.6,1.9,25.2,47.2,Louisiana State University,3rd overall,1st round,Denver Nuggets,1990,1-Jun,"Gulfport in Gulfport, Mississippi",Mahmoud Abdul-Rauf,Point Guard,Right,162lb
abdulta01,3-Nov-74,"Maisons Alfort, France",1.1,41.7,23.7,70.3,236,11.4,7.8,3.3,3.5,42.2,"University of Michigan, San Jose State University",11th overall,1st round,Sacramento Kings,1997,6-Jun,"Lycee Aristide Briand in Evreux, France",Tariq Abdul-Wahad,Shooting Guard,Right,223lb
abdursh01,11-Dec-76,"Marietta, Georgia",2.5,47.2,29.7,81,830,19,18.1,7.5,71.2,47.9,University of California,3rd overall,1st round,Vancouver Grizzlies,1996,9-Jun,"Wheeler in Marietta, Georgia",Shareef Abdur-Rahim,Center and Small Forward and Power Forward,Right,225lb
abernto01,6-May-54,"South Bend, Indiana",1.2,49.2,0,74.7,319,12.9,5.6,3.2,13.4,49.2,Indiana University,43rd overall,3rd round,Los Angeles Lakers,1976,7-Jun,"Saint Joseph in South Bend, Indiana",Tom Abernethy,Small Forward and Power Forward,Right,220lb
ablefo01,27-Jul-32,,1,0,,-,1,-41.1,0,1,0,,Western Kentucky University,,1956 NBA Draf,Syracuse Nationals,,3-Jun,"Fairdale in Louisville, Kentucky",Forest Able,Guard,Right,180lb
abramjo01,9-Feb-19,"Etna, Pennsylvania",0.7,23.7,,68.6,56,-,9.5,-,-1.9,,Salem International University,,,,,3-Jun,"Etna in Etna, Pennsylvania",John Abramovic,Forward,Right,195lb
abrinal01,1-Aug-93,"Palma de Mallorca, Spain",0.5,38.7,36.8,88,174,8.8,5.3,1.4,5,52.5,,32nd overall,2nd round,Oklahoma City Thunder,2013,6-Jun,,Alex Abrines,Shooting Guard,Right,200lb
